Name,Status,Lemmatize_Description,Tokenized_Reference,,,,,,,,
CVE-1999-0001,Candidate,"['ip_input.c', 'BSD-derived', 'TCP/IP', 'implementation', 'allows', 'remote', 'attacker', 'cause', 'denial', 'service', '(', 'crash', 'hang', ')', 'via', 'crafted', 'packet', '.']","[['BUGTRAQ:19981223 Re: CERT Advisory CA-98.13 - TCP/IP Denial of Service   '], ['   CERT:CA-98-13-tcp-denial-of-service   '], ['   CONFIRM:http://www.openbsd.org/errata23.html#tcpfix   '], ['   OSVDB:5707   '], ['   URL:http://www.osvdb.org/5707']]",,,,,,,,
CVE-1999-0002,Entry,"['Buffer', 'overflow', 'NFS', 'mountd', 'give', 'root', 'access', 'remote', 'attacker', ',', 'mostly', 'Linux', 'system', '.']","[['BID:121   '], ['   URL:http://www.securityfocus.com/bid/121   '], ['   CERT:CA-98.12.mountd   '], ['   CIAC:J-006   '], ['   URL:http://www.ciac.org/ciac/bulletins/j-006.shtml   '], ['   SGI:19981006-01-I   '], ['   URL:ftp://patches.sgi.com/support/free/security/advisories/19981006-01-I   '], ['   XF:linux-mountd-bo']]",,,,,,,,
CVE-1999-0003,Entry,"['Execute', 'command', 'root', 'via', 'buffer', 'overflow', 'Tooltalk', 'database', 'server', '(', 'rpc.ttdbserverd', ')', '.']","[['BID:122   '], ['   URL:http://www.securityfocus.com/bid/122   '], ['   CERT:CA-98.11.tooltalk   '], ['   NAI:NAI-29   '], ['   SGI:19981101-01-A   '], ['   URL:ftp://patches.sgi.com/support/free/security/advisories/19981101-01-A   '], ['   SGI:19981101-01-PX   '], ['   URL:ftp://patches.sgi.com/support/free/security/advisories/19981101-01-PX   '], ['   XF:aix-ttdbserver   '], ['   XF:tooltalk']]",,,,,,,,
CVE-1999-0004,Candidate,"['MIME', 'buffer', 'overflow', 'email', 'client', ',', 'e.g', '.', 'Solaris', 'mailtool', 'Outlook', '.']","[['CERT:CA-98.10.mime_buffer_overflows   '], ['   MS:MS98-008   '], ['   URL:https://docs.microsoft.com/en-us/security-updates/securitybulletins/1998/ms98-008   '], ['   SUN:00175   '], ['   XF:outlook-long-name']]",,,,,,,,
CVE-1999-0005,Entry,"['Arbitrary', 'command', 'execution', 'via', 'IMAP', 'buffer', 'overflow', 'authenticate', 'command', '.']","[['BID:130   '], ['   URL:http://www.securityfocus.com/bid/130   '], ['   CERT:CA-98.09.imapd   '], ['   SUN:00177   '], ['   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/177   '], ['   XF:imap-authenticate-bo']]",,,,,,,,
CVE-1999-0006,Entry,"['Buffer', 'overflow', 'POP', 'server', 'based', 'BSD/Qualcomm', ""'s"", 'qpopper', 'allows', 'remote', 'attacker', 'gain', 'root', 'access', 'using', 'long', 'PASS', 'command', '.']","[['AUSCERT:AA-98.01   '], ['   BID:133   '], ['   URL:http://www.securityfocus.com/bid/133   '], ['   CERT:CA-98.08.qpopper_vul   '], ['   SGI:19980801-01-I   '], ['   URL:ftp://patches.sgi.com/support/free/security/advisories/19980801-01-I   '], ['   XF:qpopper-pass-overflow']]",,,,,,,,
CVE-1999-0007,Entry,"['Information', 'SSL-encrypted', 'session', 'via', 'PKCS', '#', '1', '.']","[['CERT:CA-98.07.PKCS   '], ['   MS:MS98-002   '], ['   URL:https://docs.microsoft.com/en-us/security-updates/securitybulletins/1998/ms98-002   '], ['   XF:nt-ssl-fix']]",,,,,,,,
CVE-1999-0008,Entry,"['Buffer', 'overflow', 'NIS+', ',', 'Sun', ""'s"", 'rpc.nisd', 'program', '.']","[['CERT:CA-98.06.nisd   '], ['   ISS:June10,1998   '], ['   SUN:00170   '], ['   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/170   '], ['   XF:nisd-bo-check']]",,,,,,,,
CVE-1999-0009,Entry,"['Inverse', 'query', 'buffer', 'overflow', 'BIND', '4.9', 'BIND', '8', 'Releases', '.']","[['BID:134   '], ['   URL:http://www.securityfocus.com/bid/134   '], ['   CERT:CA-98.05.bind_problems   '], ['   HP:HPSBUX9808-083   '], ['   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9808-083   '], ['   SGI:19980603-01-PX   '], ['   URL:ftp://patches.sgi.com/support/free/security/advisories/19980603-01-PX   '], ['   SUN:00180   '], ['   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/180   '], ['   XF:bind-bo']]",,,,,,,,
CVE-1999-0010,Entry,"['Denial', 'Service', 'vulnerability', 'BIND', '8', 'Releases', 'via', 'maliciously', 'formatted', 'DNS', 'message', '.']","[['CERT:CA-98.05.bind_problems   '], ['   HP:HPSBUX9808-083   '], ['   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9808-083   '], ['   SGI:19980603-01-PX   '], ['   URL:ftp://patches.sgi.com/support/free/security/advisories/19980603-01-PX   '], ['   XF:bind-dos']]",,,,,,,,
CVE-1999-0011,Entry,"['Denial', 'Service', 'vulnerability', 'BIND', '4.9', 'BIND', '8', 'Releases', 'via', 'CNAME', 'record', 'zone', 'transfer', '.']","[['CERT:CA-98.05.bind_problems   '], ['   HP:HPSBUX9808-083   '], ['   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9808-083   '], ['   SGI:19980603-01-PX   '], ['   URL:ftp://patches.sgi.com/support/free/security/advisories/19980603-01-PX   '], ['   SUN:00180   '], ['   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/180   '], ['   XF:bind-axfr-dos']]",,,,,,,,
CVE-1999-0012,Entry,"['web', 'server', 'Microsoft', 'Windows', 'allow', 'remote', 'attacker', 'bypass', 'access', 'restriction', 'file', 'long', 'file', 'name', '.']","[['CERT:CA-98.04.Win32.WebServers   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0012   '], ['   XF:nt-web8.3']]",,,,,,,,
CVE-1999-0013,Entry,"['Stolen', 'credential', 'SSH', 'client', 'via', 'ssh-agent', 'program', ',', 'allowing', 'local', 'user', 'access', 'remote', 'account', 'belonging', 'ssh-agent', 'user', '.']","[['CERT:CA-98.03.ssh-agent   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0013   '], ['   NAI:NAI-24   '], ['   XF:ssh-agent']]",,,,,,,,
CVE-1999-0014,Entry,"['Unauthorized', 'privileged', 'access', 'denial', 'service', 'via', 'dtappgather', 'program', 'CDE', '.']","[['CERT:CA-98.02.CDE   '], ['   HP:HPSBUX9801-075   '], ['   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9801-075   '], ['   SUN:00185   '], ['   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/185']]",,,,,,,,
CVE-1999-0015,Candidate,"['Teardrop', 'IP', 'denial', 'service', '.']","[['CERT:CA-97.28.Teardrop_Land   '], ['   OVAL:oval:org.mitre.oval:def:5579   '], ['   URL:https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A5579   '], ['   XF:teardrop']]",,,,,,,,
CVE-1999-0016,Entry,"['Land', 'IP', 'denial', 'service', '.']","[['CERT:CA-97.28.Teardrop_Land   '], ['   CISCO:http://www.cisco.com/warp/public/770/land-pub.shtml   '], ['   FREEBSD:FreeBSD-SA-98:01   '], ['   HP:HPSBUX9801-076   '], ['   URL:http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9801-076   '], ['   XF:95-verv-tcp   '], ['   XF:cisco-land   '], ['   XF:land   '], ['   XF:land-patch   '], ['   XF:ver-tcpip-sys']]",,,,,,,,
CVE-1999-0017,Entry,"['FTP', 'server', 'allow', 'attacker', 'connect', 'arbitrary', 'port', 'machine', 'FTP', 'client', ',', 'aka', 'FTP', 'bounce', '.']","[['CERT:CA-97.27.FTP_bounce   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0017   '], ['   XF:ftp-bounce   '], ['   XF:ftp-privileged-port']]",,,,,,,,
CVE-1999-0018,Entry,"['Buffer', 'overflow', 'statd', 'allows', 'root', 'privilege', '.']","[['AUSCERT:AA-97.29   '], ['   BID:127   '], ['   URL:http://www.securityfocus.com/bid/127   '], ['   CERT:CA-97.26.statd   '], ['   XF:statd']]",,,,,,,,
CVE-1999-0019,Entry,"['Delete', 'create', 'file', 'via', 'rpc.statd', ',', 'due', 'invalid', 'information', '.']","[['CERT:CA-96.09.rpc.statd   '], ['   SUN:00135   '], ['   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/135   '], ['   XF:rpc-stat']]",,,,,,,,
CVE-1999-0020,Candidate,"['*', '*', 'REJECT', '*', '*', 'USE', 'CANDIDATE', 'NUMBER', '.', 'ConsultIDs', ':', 'CVE-1999-0032', '.', 'Reason', ':', 'candidate', 'duplicate', 'CVE-1999-0032', '.', 'Notes', ':', 'CVE', 'user', 'reference', 'CVE-1999-0032', 'instead', 'candidate', '.', 'reference', 'description', 'candidate', 'removed', 'prevent', 'accidental', 'usage', '.']",[['nan']],,,,,,,,
CVE-1999-0021,Entry,"['Arbitrary', 'command', 'execution', 'via', 'buffer', 'overflow', 'Count.cgi', '(', 'wwwcount', ')', 'cgi-bin', 'program', '.']","[['BID:128   '], ['   URL:http://www.securityfocus.com/bid/128   '], ['   BUGTRAQ:19971010 Security flaw in Count.cgi (wwwcount)   '], ['   CERT:CA-97.24.Count_cgi   '], ['   XF:http-cgi-count']]",,,,,,,,
CVE-1999-0022,Entry,"['Local', 'user', 'gain', 'root', 'privilege', 'via', 'buffer', 'overflow', 'rdist', ',', 'via', 'expstr', '(', ')', 'function', '.']","[['CERT:CA-97.23.rdist   '], ['   SUN:00179   '], ['   URL:http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/179   '], ['   XF:rdist-bo3   '], ['   XF:rdist-sept97']]",,,,,,,,
CVE-1999-0023,Entry,"['Local', 'user', 'gain', 'root', 'privilege', 'via', 'buffer', 'overflow', 'rdist', ',', 'via', 'lookup', '(', ')', 'function', '.']","[['CERT:CA-96.14.rdist_vul   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0023   '], ['   XF:rdist-bo   '], ['   XF:rdist-bo2']]",,,,,,,,
CVE-1999-0024,Entry,"['DNS', 'cache', 'poisoning', 'via', 'BIND', ',', 'predictable', 'query', 'IDs', '.']","[['CERT:CA-97.22.bind   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0024   '], ['   NAI:NAI-11   '], ['   XF:bind']]",,,,,,,,
CVE-1999-0025,Entry,"['root', 'privilege', 'via', 'buffer', 'overflow', 'df', 'command', 'SGI', 'IRIX', 'system', '.']","[['AUSCERT:AA-97.19.IRIX.df.buffer.overflow.vul   '], ['   BID:346   '], ['   URL:http://www.securityfocus.com/bid/346   '], ['   CERT:CA-1997-21   '], ['   URL:http://www.cert.org/advisories/CA-1997-21.html   '], ['   CERT-VN:VU#20851   '], ['   URL:http://www.kb.cert.org/vuls/id/20851   '], ['   SGI:SGI:19970505-01-A   '], ['   SGI:SGI:19970505-02-PX   '], ['   XF:df-bo(440)   '], ['   URL:https://exchange.xforce.ibmcloud.com/vulnerabilities/440']]",,,,,,,,
CVE-1999-0026,Entry,"['root', 'privilege', 'via', 'buffer', 'overflow', 'pset', 'command', 'SGI', 'IRIX', 'system', '.']","[['AUSCERT:AA-97.20.IRIX.pset.buffer.overflow.vul   '], ['   CERT:CA-97.21.sgi_buffer_overflow   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0026   '], ['   XF:pset-bo']]",,,,,,,,
CVE-1999-0027,Entry,"['root', 'privilege', 'via', 'buffer', 'overflow', 'eject', 'command', 'SGI', 'IRIX', 'system', '.']","[['AUSCERT:AA-97.21.IRIX.eject.buffer.overflow.vul   '], ['   CERT:CA-97.21.sgi_buffer_overflow   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0027   '], ['   XF:eject-bo']]",,,,,,,,
CVE-1999-0028,Entry,"['root', 'privilege', 'via', 'buffer', 'overflow', 'login/scheme', 'command', 'SGI', 'IRIX', 'system', '.']","[['AUSCERT:AA-97.22.IRIX.login.scheme.buffer.overflow.vul   '], ['   CERT:CA-97.21.sgi_buffer_overflow   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0028   '], ['   XF:sgi-schemebo']]",,,,,,,,
CVE-1999-0029,Entry,"['root', 'privilege', 'via', 'buffer', 'overflow', 'ordist', 'command', 'SGI', 'IRIX', 'system', '.']","[['AUSCERT:AA-97.23-IRIX.ordist.buffer.overflow.vul   '], ['   CERT:CA-97.21.sgi_buffer_overflow   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0029   '], ['   XF:ordist-bo']]",,,,,,,,
CVE-1999-0030,Candidate,"['root', 'privilege', 'via', 'buffer', 'overflow', 'xlock', 'command', 'SGI', 'IRIX', 'system', '.']","[['AUSCERT:AA-97.24.IRIX.xlock.buffer.overflow.vul   '], ['   CERT:CA-97.21.sgi_buffer_overflow   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0030   '], ['   SGI:19970508-02-PX   '], ['   XF:sgi-xlockbo']]",,,,,,,,
CVE-1999-0031,Entry,"['JavaScript', 'Internet', 'Explorer', '3.x', '4.x', ',', 'Netscape', '2.x', ',', '3.x', '4.x', ',', 'allows', 'remote', 'attacker', 'monitor', 'user', ""'s"", 'web', 'activity', ',', 'aka', 'Bell', 'Labs', 'vulnerability', '.']","[['CERT:CA-97.20.javascript   '], ['   HP:HPSBUX9707-065   '], ['   URL:http://www.codetalker.com/advisories/vendor/hp/hpsbux9707-065.html']]",,,,,,,,
CVE-1999-0032,Entry,"['Buffer', 'overflow', 'lpr', ',', 'used', 'BSD-based', 'system', 'including', 'Linux', ',', 'allows', 'local', 'user', 'execute', 'arbitrary', 'code', 'root', 'via', 'long', '-C', '(', 'classification', ')', 'command', 'line', 'option', '.']","[['AUSCERT:AA-96.12   '], ['   BID:707   '], ['   URL:http://www.securityfocus.com/bid/707   '], ['   BUGTRAQ:19960813 Possible bufferoverflow condition in lpr, xterm and xload   '], [""   BUGTRAQ:19961025 Linux & BSD's lpr exploit   ""], ['   CERT:CA-97.19.bsdlp   '], ['   CIAC:H-08   '], ['   CIAC:I-042   '], ['   URL:http://www.ciac.org/ciac/bulletins/i-042.shtml   '], [""   MLIST:[freebsd-security] 19961025 Vadim Kolontsov: BoS: Linux & BSD's lpr exploit   ""], ['   MLIST:[linux-security] 19961122 LSF Update#14: Vulnerability of the lpr program.   '], ['   SGI:19980402-01-PX   '], ['   URL:ftp://patches.sgi.com/support/free/security/advisories/19980402-01-PX   '], ['   XF:bsd-lprbo   '], ['   XF:bsd-lprbo2   '], ['   XF:lpr-bo']]",,,,,,,,
CVE-1999-0033,Candidate,"['Command', 'execution', 'Sun', 'system', 'via', 'buffer', 'overflow', 'program', '.']","[['CERT:CA-97.18.at   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0033   '], ['   SUN:00160   '], ['   XF:sun-atbo']]",,,,,,,,
CVE-1999-0034,Entry,"['Buffer', 'overflow', 'suidperl', '(', 'sperl', ')', ',', 'Perl', '4.x', '5.x', '.']","[['CERT:CA-97.17.sperl   '], ['   MISC:https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0034   '], ['   XF:perl-suid']]",,,,,,,,
